title,description,season,episode,episode_title,content,genre
,,1,12,진요원의 비밀,"장욱은 진무의 계략에 의해 위험에 처하지만, 무덕이의 기지로 위기를 모면한다. 진무는 진요원의 숨겨진 비밀 공간과 유물을 이용하여 자신의 힘을 강화한다. 무덕이는 진요원에 잠입하여 진부연의 신력이 담긴 유물을 찾으려 한다. 박진은 진무의 위험한 움직임을 막기 위해 장욱과 협력하며 진무 세력의 확산을 경계한다. 장욱은 무덕이에게 자신의 목숨을 건 변치 않는 사랑을 고백하고, 두 사람은 더욱 강한 유대감으로 뭉친다. 진호경은 무덕이를 진부연으로 확정하고 그녀를 진요원에 묶어두려 한다.",
,,1,13,진부연의 몸,"무덕이의 몸이 진요원의 잃어버린 딸 진부연의 육신이라는 사실이 공식적으로 밝혀진다. 진호경은 무덕이를 진요원으로 데려와 자신의 딸로 인정하고, 그녀에게 진부연의 신력을 각성시키려 한다. 장욱은 무덕이를 되찾기 위해 진호경과 대립하며 송림과 진요원의 갈등이 심화된다. 무덕이는 진부연의 신력과 낙수의 살수 본능 사이에서 극심한 혼란을 겪으며 자신의 정체성에 대해 고뇌한다. 서율은 무덕이를 위해 진무의 움직임을 파헤치고, 그녀에게 자신의 오랜 마음을 간접적으로 표현한다.",
,,1,14,혼란의 시작,"장욱은 무덕이를 진요원에서 구출하기 위해 잠입을 시도한다. 진호경은 무덕이가 진부연의 신력을 온전히 되찾도록 돕는 동시에, 낙수로서의 기억을 봉인하려 한다. 진무는 무덕이의 약점을 이용해 장욱을 제거할 계획을 세우고, 무덕이의 내면을 조종하기 시작한다. 장욱은 무덕이의 몸에 깃든 진부연의 신력과 낙수의 혼이 얽힌 복잡한 진실에 직면하고, 이 모든 것이 진무의 사술과 관련되어 있음을 깨닫는다. 장욱과 무덕이는 잠시 이별을 택하고, 각자의 방식으로 진무와 맞설 준비를 한다.",
,,1,15,봉인과 각성,"무덕이는 진무의 계략에 의해 진요원의 강력한 술법 도구에 노출되어 위험에 처한다. 장욱은 그녀를 구하기 위해 자신의 모든 술력을 쏟아붓는다. 무덕이는 진부연의 몸에 깃든 신력이 낙수의 혼을 서서히 잠식하는 것을 느끼며 고통과 두려움을 느낀다. 진무는 얼음돌의 힘을 이용하여 대호국 전체를 환혼인으로 만들 야심을 드러내고, 그의 음모는 걷잡을 수 없이 커진다. 장욱과 무덕이는 잠시 떨어져 있지만, 서로를 향한 마음은 더욱 강해지며 최후의 결전을 준비한다.",
,,1,16,경천대,"진무는 얼음돌의 힘을 이용하여 당골네 최씨와 협력하여 무덕이를 완전히 조종한다. 무덕이는 결국 낙수로서의 모든 기억과 힘을 되찾기 직전의 상태에 놓인다. 진무는 경천대의 비밀을 이용하여 왕실 권력을 장악하려 하고, 장욱은 이를 막기 위해 사대 가문의 젊은 술사들과 연합하여 진무 세력에 맞선다. 박진과 이선생은 진무의 음모가 대호국 전체를 위협하는 수준임을 확인하고, 장욱에게 힘을 실어준다. 장욱은 무덕이를 구하기 위한 유일한 방법을 찾기 위해 자신의 목숨을 건 싸움을 시작한다.",
,,1,17,폭주,"장욱은 진무가 조종하는 환혼인 무리를 상대로 싸워 승리하지만, 무덕이의 몸에 깃든 낙수의 힘이 폭주하기 시작한다. 무덕이는 자신을 제어하지 못하고 살수 본능에 이끌려 무고한 이들을 해칠 위기에 처한다. 박진은 무덕이의 폭주를 막기 위해 그녀를 제거할 수밖에 없다고 판단하고, 장욱은 무덕이를 구하기 위해 필사적으로 그녀를 쫓는다. 무덕이는 장욱의 진심을 알지만, 폭주하는 자신의 힘을 제어할 수 없어 고통스러워한다. 진무는 이 혼란을 이용하여 자신의 권력을 공고히 하려 한다.",
,,1,18,최후의 선택,"진무는 얼음돌의 힘을 완전히 흡수한 당골네 최씨와 함께 무덕이를 조종하여 낙수로서의 힘을 극대화한다. 무덕이는 결국 낙수로서의 모든 기억과 힘을 되찾고 진무의 꼭두각시가 된다. 장욱은 무덕이의 폭주를 막기 위해 그녀에게 다가가려 하지만, 낙수는 자신을 멈출 수 없음을 깨닫고 절망한다. 서율은 자신의 생명을 걸고 낙수를 도우려 하지만, 실패하고 만다. 장욱은 사랑하는 무덕이를 막기 위해 자신의 목숨을 희생할 각오를 하고 그녀와 최후의 대면을 준비한다.",
,,1,19,운명의 칼,"진무에게 완전히 조종당한 낙수는 무덕이의 몸으로 돌아와 장욱에게 접근한다. 장욱은 무덕이를 제어하기 위해 모든 술력을 사용하지만 역부족이다. 결국 무덕이는 낙수의 칼로 장욱의 심장을 찌른다. 충격적인 배신 앞에서 장욱은 무덕이를 원망하지 않고 그녀의 폭주를 멈추려 한다. 진무는 이 비극을 이용하여 자신의 권력을 공고히 하고, 장욱을 제거하려 한다. 박진과 김도주는 진무의 음모에 의해 위험에 빠지지만, 사대 가문의 사람들은 마지막까지 진무와 맞서 싸운다.",
,,1,20,시즌 1 최종회,"낙수의 칼에 맞은 장욱은 심장이 멈추지만, 장강의 계획대로 얼음돌의 힘을 받아 기적적으로 부활한다. 장욱의 몸은 얼음돌의 강력한 기운을 흡수하며 무적의 술사로 거듭난다. 한편, 폭주한 무덕이(낙수의 혼이 깃든)는 더 이상의 살생을 피하기 위해 경천대호로 뛰어들어 석화된다. 진무는 이 모든 죄를 낙수에게",
,,2,1,세상에 하나뿐인 단 하나의 분신,"3년 후, 장욱은 죽은 낙수가 남긴 칼을 들고 환혼인을 색출하고 처단하는 괴물로 불린다. 그의 몸에는 얼음돌의 강력한 힘이 흐른다. 무덕이의 육체는 진부연의 신력으로 되살아나 진부연(고윤정)으로 불리며 진요원에 갇혀있지만, 그녀는 기억을 잃은 상태다. 진호경은 그녀의 신력을 이용하려 한다. 장욱은 우연히 진요원에서 진부연을 만나 그녀의 몸에서 얼음돌의 기운을 느끼고, 진부연은 장욱에게 자신의 운명의 신랑이 되어달라고 요구하며 진요원에서 탈출하려 한다. 장욱은 진부연을 경계하면서도 묘하게 이끌림을 느끼고, 그녀를 이용해 얼음돌의 폭주를 잠재우려 한다.",
,,2,2,운명의 신랑을 찾아서,"진부연은 장욱을 따라 송림에 입성하지만, 여전히 모두에게 경계의 대상이다. 장욱은 진부연의 신력이 얼음돌의 폭주를 잠재울 수 있다는 것을 알고 그녀를 곁에 둔다. 진부연은 장욱에게서 무덕이의 그림자를 느끼며, 자신이 잃어버린 기억의 흔적을 쫓는다. 서율은 진부연의 정체가 낙수일 것이라고 의심하며, 그녀를 향한 복잡한 감정을 숨긴 채 관찰한다. 진무는 진부연과 장욱의 관계를 이용하여 다시 한번 대호국을 혼란에 빠뜨릴 음모를 꾸민다. 장욱은 진부연에게서 무덕이의 모습을 발견할 때마다 마음의 동요를 느끼지만, 3년 전의 상처 때문에 이를 애써 외면하려 한다.",
,,2,3,진요원의 감옥,"진호경은 장욱의 강력한 힘을 두려워하고, 진부연을 다시 진요원에 가두려 하지만 장욱은 그녀를 지키기 위해 강하게 반발한다. 장욱은 진부연에게 정식으로 계약 결혼을 제안하고, 이는 사대 가문 전체의 큰 논란을 일으킨다. 진부연은 결혼을 통해 진요원의 속박에서 벗어나려 하며, 장욱과의 관계를 통해 자신의 잃어버린 기억을 되찾으려 한다. 진무는 진부연의 몸에 봉인된 낙수의 힘을 깨우기 위해 그녀에게 접근하며, 과거의 악연을 다시 이용하려 한다. 박진과 김도주는 장욱의 결혼 결정에 대해 복잡한 심경을 드러낸다.",
,,2,4,"결혼, 그리고 새로운 시작","장욱과 진부연은 모두의 반대를 무릅쓰고 성대한 결혼식을 올린다. 진무는 결혼 축하 선물로 강력한 요괴인 화조(火鳥)를 보내 장욱을 도발한다. 진부연은 자신의 몸에 깃든 신력이 장욱의 강력한 힘과 충돌하여 그를 위험에 빠뜨릴 수 있음을 알게 되지만, 이를 숨긴다. 장욱은 진부연에게서 무덕이와 낙수의 그림자를 발견하며 혼란스러워하지만, 점차 그녀에게 깊은 사랑을 느끼기 시작한다. 진부연은 장욱의 진심을 얻기 위해 노력하며, 자신의 몸에 남은 낙수의 흔적을 감추려 한다.",
,,2,5,낙수의 흔적,"결혼 후, 진부연은 무의식적으로 낙수 시절의 검술을 사용하거나, 무덕이와의 추억이 담긴 장소에서 기시감을 느끼며 잃어버린 기억의 조각들을 발견한다. 서율은 낙수의 기력이 담긴 혈충으로 인해 생명이 위독해지고, 진부연은 자신의 신력을 이용해 서율을 돕는다. 장욱은 진부연의 알 수 없는 행동과 능력 때문에 그녀를 경계하면서도 점차 그녀에게 매료된다. 진무는 화조의 힘을 이용하여 낙수의 기억을 완전히 되살리려 계획하고, 진부연의 주변을 맴돈다. 진호경은 진부연의 정체가 낙수임을 확신하고 괴로워한다.",
,,2,6,숨겨진 신력,"진부연은 자신의 몸에 봉인되었던 낙수의 검술 능력과 진부연의 강력한 신력을 동시에 되찾기 시작하며 힘이 폭주하는 것을 느낀다. 장욱은 진부연의 신력을 이용하여 진무의 음모와 화조의 위험에 맞선다. 진호경은 진부연의 능력이 통제 불가능할 정도로 강해지자 불안감을 느끼고, 그녀의 정체를 숨기려 애쓴다. 장욱은 진부연을 지키기 위해 자신의 목숨을 걸고 싸우며, 그녀와의 관계를 통해 3년 전의 상처를 치유하려 한다.",
,,2,7,완벽한 환혼인,"진부연은 결국 모든 낙수의 기억과 능력을 완전히 되찾고, 스스로 낙수(조영)임을 장욱에게 선언한다. 장욱은 진부연이 3년 전 자신을 찌른 살수였음을 알지만, 이미 깊어진 사랑 때문에 모든 것을 수용한다. 두 사람은 다시 스승과 제자, 그리고 연인의 관계를 회복하며 진무와의 마지막 대결을 준비한다. 진무는 낙수의 완전한 각성을 이용하여 장욱과의 최후의 결전을 준비한다. 사대 가문의 술사들은 낙수와 장욱을 둘러싼 복잡한 진실 앞에서 갈등한다.",
,,2,8,서로를 구원하는 빛,"장욱과 낙수는 진무가 화조를 이용해 대호국에 대규모 환란을 일으키려는 계획을 막기 위해 협력한다. 서율은 진무의 계략을 막기 위해 스스로 희생하여 혈충의 고통에서 벗어나고, 장욱과 낙수를 돕는 마지막 역할을 수행한다. 장욱은 낙수를 영원히 인간으로 되돌릴 수 있는 방법을 찾기 위해 얼음돌의 힘을 연구한다. 낙수는 장욱의 희생과 사랑을 통해 살수로서의 운명에서 벗어나려 하며, 두 사람은 서로를 구원하는 빛이 된다.",
,,2,9,세상을 구하는 사랑,"진무는 경천대에서 대규모 환혼술을 시도하며 대호국을 파멸로 몰아넣는다. 장욱과 낙수는 최후의 결전을 위해 진무가 있는 경천대로 향한다. 박진, 김도주, 진호경 등 사대 가문의 어른들은 모두 힘을 합쳐 이 환란을 막기 위해 고군분투한다. 장욱은 얼음돌의 강력한 힘으로, 낙수는 진부연의 신력과 낙수의 검술을 합친 힘으로 진무와 화조에 대결한다. 두 사람은 세상의 운명을 건 처절한 싸움을 벌이며 사랑의 힘으로 위기를 극복하려 한다.",
,,2,10,시즌 2 최종회 (결말),"장욱과 낙수는 힘을 합쳐 진무와 화조를 완전히 소멸시키고 대호국에 평화를 되찾아준다. 낙수(조영)는 진부연의 신력을 이용하여 환혼인의 몸에서 벗어나 평범한 인간의 몸을 얻는다. 9회에서 죽은 줄 알았던 박진, 김도주, 진호경 등이 모두 살아남으며 모든 갈등이 해소된다. 장욱과 낙수는 혼돈의 중심이었던 진요원에 정착하여 함께 지내며, 세상을 떠도는 요기들을 잡으러 다니는 새로운 삶을 시작한다. 박당구와 진초연, 박진과 김도주 커플이 결혼하고 임신하는 등 행복한 결말로 드라마가 막을 내린다.",
